date	id	rank	name	mass	station_de
2026-01-01	circumcision_of_the_lord	primary	circumcision_of_the_lord		St. Maria jenseits des Tibers
2026-01-01	the_circumcision_of_the_lord	commemoration	the_circumcision_of_the_lord		St. Maria jenseits des Tibers
2026-01-06	epiphany_of_the_lord	primary	epiphany_of_the_lord		St. Peter
2026-02-01	septuagesima_sunday	primary	septuagesima.sunday		St. Laurentius vor den Mauern
2026-02-02	the_purification_of_the_blessed_virgin_mary_candlemas	primary	the_purification_of_the_blessed_virgin_mary_candlemas		Groß St. Marien
2026-02-08	sexagesima_sunday	primary	sexagesima.sunday		St. Paul vor den Mauern
2026-02-15	quinquagesima_sunday	primary	quinquagesima.sunday		St. Peter
2026-02-18	ash_wednesday	primary	ash_wednesday		St. Sabina
2026-02-19	thursday_after_ash_wednesday	primary	lent.day_after_ash_wed		St. Georg in Velabro
2026-02-20	friday_after_ash_wednesday	primary	lent.day_after_ash_wed		St. Johannes und Paulus
2026-02-21	saturday_after_ash_wednesday	primary	lent.day_after_ash_wed		St. Augustin
2026-02-22	lent_1_sunday	primary	lent.sunday		St. Johann im Lateran
2026-02-23	lent_1_monday	primary	lent.weekday		St. Peter in Ketten
2026-02-24	lent_1_tuesday	commemoration	lent.weekday		St. Anastasia
2026-02-25	lent_1_wednesday	primary	lent.weekday		Groß St. Marien
2026-02-26	lent_1_thursday	primary	lent.weekday		St. Laurentius in Panisperna
2026-02-27	lent_1_friday	primary	lent.weekday		Zu den heiligen Zwölf Aposteln
2026-02-28	lent_1_saturday	primary	lent.weekday		St. Peter
2026-03-01	lent_2_sunday	primary	lent.sunday		St. Maria in Domnica
2026-03-02	lent_2_monday	primary	lent.weekday		St. Klemens
2026-03-03	lent_2_tuesday	primary	lent.weekday		St. Balbina
2026-03-04	lent_2_wednesday	primary	lent.weekday		St. Cäcilia
2026-03-05	lent_2_thursday	primary	lent.weekday		St. Maria jenseits des Tibers
2026-03-06	lent_2_friday	primary	lent.weekday		St. Vitalis
2026-03-07	lent_2_saturday	primary	lent.weekday		St. Marcellinus und Petrus
2026-03-08	lent_3_sunday	primary	lent.sunday		St. Laurentius vor den Mauern
2026-03-09	lent_3_monday	primary	lent.weekday		St. Markus
2026-03-10	lent_3_tuesday	primary	lent.weekday		St. Pudentiana
2026-03-11	lent_3_wednesday	primary	lent.weekday		St. Xystus
2026-03-12	lent_3_thursday	primary	lent.weekday		St. Kosmas und Damian
2026-03-13	lent_3_friday	primary	lent.weekday		St. Laurentius in Lucina
2026-03-14	lent_3_saturday	primary	lent.weekday		St. Susanna
2026-03-15	lent_4_sunday	primary	lent.sunday		Zum hl. Kreuz in Jerusalem
2026-03-16	lent_4_monday	primary	lent.weekday		Zu den heiligen Vier Gekrönten
2026-03-17	lent_4_tuesday	primary	lent.weekday		St. Laurentius in Damaso
